Scientific (AviList),English (AviList)
Penelope argyrotis,Band-tailed Guan
Penelope argyrotis colombiana,
Penelope argyrotis albicauda,
Penelope argyrotis argyrotis,
Penelope barbata,Bearded Guan
Penelope ortoni,Baudo Guan
Penelope montagnii,Andean Guan
Penelope montagnii montagnii,
Penelope montagnii atrogularis,
Penelope montagnii brooki,
Penelope montagnii plumosa,
Penelope montagnii sclateri,
Penelope marail,Marail Guan
Penelope marail jacupeba,
Penelope marail marail,
Penelope superciliaris,Rusty-margined Guan
Penelope superciliaris pseudonyma,
Penelope superciliaris superciliaris,
Penelope superciliaris jacupemba,
Penelope superciliaris major,
Penelope dabbenei,Red-faced Guan
Penelope jacquacu,Spix's Guan
Penelope jacquacu granti,
Penelope jacquacu orienticola,
Penelope jacquacu jacquacu,
Penelope jacquacu speciosa,
Penelope purpurascens,Crested Guan
Penelope purpurascens purpurascens,
Penelope purpurascens aequatorialis,
Penelope purpurascens brunnescens,
Penelope perspicax,Cauca Guan
Penelope albipennis,White-winged Guan
Penelope obscura,Dusky-legged Guan
Penelope bridgesi,Yungas Guan
Penelope pileata,White-crested Guan
Penelope ochrogaster,Chestnut-bellied Guan
Penelope jacucaca,White-browed Guan
Oreophasis,
Oreophasis derbianus,Horned Guan
Crax,
Crax rubra,Great Curassow
Crax rubra rubra,
Crax rubra griscomi,
Crax alberti,Blue-billed Curassow
Crax daubentoni,Yellow-knobbed Curassow
Crax alector,Black Curassow
Crax alector alector,
Crax alector erythrognatha,
Crax globulosa,Wattled Curassow
Crax fasciolata,Bare-faced Curassow
Crax fasciolata fasciolata,
Crax fasciolata pinima,
Crax fasciolata grayi,
Crax blumenbachii,Red-billed Curassow
Pauxi,
Pauxi pauxi,Helmeted Curassow
Pauxi pauxi pauxi,
Pauxi pauxi gilliardi,
Pauxi koepckeae,Sira Curassow
Pauxi unicornis,Horned Curassow
Nothocrax,
Nothocrax urumutum,Nocturnal Curassow
Mitu,
Mitu tomentosum,Crestless Curassow
Mitu salvini,Salvin's Curassow
Mitu tuberosum,Razor-billed Curassow
Mitu mitu,Alagoas Curassow
Ortalis,
Ortalis vetula,Plain Chachalaca
Ortalis vetula mccalli,
Ortalis vetula vetula,
Ortalis vetula pallidiventris,
Ortalis vetula deschauenseei,
Ortalis cinereiceps,Grey-headed Chachalaca
Ortalis garrula,Chestnut-winged Chachalaca
Ortalis ruficauda,Rufous-vented Chachalaca
Ortalis ruficauda ruficrissa,
Ortalis ruficauda ruficauda,
Ortalis erythroptera,Rufous-headed Chachalaca
Ortalis wagleri,Rufous-bellied Chachalaca
Ortalis poliocephala,West Mexican Chachalaca
Ortalis canicollis,Chaco Chachalaca
Ortalis canicollis canicollis,
Ortalis canicollis pantanalensis,
Ortalis leucogastra,White-bellied Chachalaca
Ortalis columbiana,Colombian Chachalaca
Ortalis guttata,Speckled Chachalaca
Ortalis guttata guttata,
Ortalis guttata subaffinis,
Ortalis guttata remota,
Ortalis araucuan,East Brazilian Chachalaca
Ortalis squamata,Scaled Chachalaca
Ortalis motmot,Little Chachalaca
Ortalis ruficeps,Chestnut-headed Chachalaca
Ortalis superciliaris,Buff-browed Chachalaca
Numididae,
Numida,
Numida meleagris,Helmeted Guineafowl
Numida meleagris sabyi,
Numida meleagris galeatus,
Numida meleagris meleagris,
Numida meleagris somaliensis,
Numida meleagris reichenowi,
Numida meleagris mitratus,
Numida meleagris marungensis,
Numida meleagris papillosus,
Numida meleagris coronatus,
Agelastes,
Agelastes meleagrides,White-breasted Guineafowl
Agelastes niger,Black Guineafowl
Acryllium,
Acryllium vulturinum,Vulturine Guineafowl
Guttera,
Guttera plumifera,Plumed Guineafowl
Guttera plumifera plumifera,
Guttera plumifera schubotzi,
Guttera pucherani,Eastern Crested Guineafowl
Guttera verreauxi,Western Crested Guineafowl
Guttera verreauxi verreauxi,
Guttera verreauxi sclateri,
Guttera edouardi,Southern Crested Guineafowl
Guttera edouardi barbata,
Guttera edouardi edouardi,
Odontophoridae,
Ptilopachus,
Ptilopachus nahani,Nahan's Partridge
Ptilopachus petrosus,Stone Partridge
Ptilopachus petrosus petrosus,
Ptilopachus petrosus brehmi,
Ptilopachus petrosus major,
Ptilopachus petrosus florentiae,
Rhynchortyx,
Rhynchortyx cinctus,Tawny-faced Quail
Rhynchortyx cinctus pudibundus,
Rhynchortyx cinctus cinctus,
Rhynchortyx cinctus australis,
Oreortyx,
Oreortyx pictus,Mountain Quail
Oreortyx pictus pictus,
Oreortyx pictus plumifer,
Oreortyx pictus russelli,
Oreortyx pictus eremophilus,
Oreortyx pictus confinis,
Dendrortyx,
Dendrortyx leucophrys,Buffy-crowned Wood Partridge
Dendrortyx leucophrys leucophrys,
Dendrortyx leucophrys hypospodius,
Dendrortyx macroura,Long-tailed Wood Partridge
Dendrortyx macroura macroura,
Dendrortyx macroura griseipectus,
Dendrortyx macroura diversus,
Dendrortyx macroura striatus,
Dendrortyx macroura inesperatus,
Dendrortyx macroura oaxacae,
Dendrortyx barbatus,Bearded Wood Partridge
Philortyx,
Philortyx fasciatus,Banded Quail
Colinus,
Colinus virginianus,Northern Bobwhite
Colinus virginianus virginianus,
Colinus virginianus floridanus,
Colinus virginianus insulanus,
Colinus virginianus cubanensis,
Colinus virginianus taylori,
Colinus virginianus ridgwayi,
Colinus virginianus texanus,
Colinus virginianus maculatus,
Colinus virginianus aridus,
Colinus virginianus graysoni,
Colinus virginianus nigripectus,
Colinus virginianus pectoralis,
Colinus virginianus godmani,
Colinus virginianus minor,
Colinus virginianus insignis,
Colinus virginianus salvini,
Colinus virginianus coyoleos,
Colinus virginianus thayeri,
Colinus virginianus harrisoni,
Colinus virginianus atriceps,
Colinus nigrogularis,Yucatan Bobwhite
Colinus nigrogularis caboti,
Colinus nigrogularis persiccus,
Colinus nigrogularis nigrogularis,
Colinus nigrogularis segoviensis,
Colinus leucopogon,Spot-bellied Bobwhite
Colinus leucopogon incanus,
Colinus leucopogon hypoleucus,
Colinus leucopogon leucopogon,
Colinus leucopogon leylandi,
Colinus leucopogon sclateri,
Colinus leucopogon dickeyi,
Colinus cristatus,Crested Bobwhite
Colinus cristatus mariae,
Colinus cristatus panamensis,
Colinus cristatus decoratus,
Colinus cristatus littoralis,
Colinus cristatus cristatus,
Colinus cristatus horvathi,
Colinus cristatus barnesi,
Colinus cristatus sonnini,
Colinus cristatus mocquerysi,
Colinus cristatus leucotis,
Colinus cristatus badius,
Colinus cristatus bogotensis,
Colinus cristatus parvicristatus,
Callipepla,
Callipepla gambelii,Gambel's Quail
Callipepla gambelii gambelii,
Callipepla gambelii ignoscens,
Callipepla gambelii fulvipectus,
Callipepla gambelii stephensi,
Callipepla californica,California Quail
Callipepla californica brunnescens,
Callipepla californica canfieldae,
Callipepla californica californica,
Callipepla californica catalinensis,
Callipepla californica achrustera,
