Scientific (Clements),IMAGES,DESC
Nothura darwinii,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873682/640""><div class=""credit"">©&nbsp;Claudio Rosso</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/210540881/640""><div class=""credit"">©&nbsp;Tom Johnson</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/210540921/640""><div class=""credit"">©&nbsp;David  Samata Flores</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/210540871/640""><div class=""credit"">©&nbsp;Tom Johnson</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/210540911/640""><div class=""credit"">©&nbsp;Juan Klavins</div></div>","Quail-like tinamou found in a variety of open habitats including grassland, farmland, and steppe. It occupies high elevations in the northern part of its range, but can be found down to near sea level at its southern limit. Small size (compared to most tinamous) and buff belly and streaks help to identify it. Very similar to Spotted Nothura, and in the area of overlap it is usually not possible to separate them in the field; in this region Darwin’s Nothura tends to be found at higher elevations. Vocalizations include a long, ringing trill and a slow series of piping notes."
Nothura maculosa,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/72466171/640""><div class=""credit"">©&nbsp;Evaldo Cesari de de Oliveira Jr</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/247063991/640""><div class=""credit"">©&nbsp;Amed Hernández</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/247063961/640""><div class=""credit"">©&nbsp;João Vitor Andriola</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/247063921/640""><div class=""credit"">©&nbsp;Marcos de Larminat</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/72466181/640""><div class=""credit"">©&nbsp;Marco Silva</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/247063981/640""><div class=""credit"">©&nbsp;Claudia Brasileiro</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/247063931/640""><div class=""credit"">©&nbsp;Mauricio Schmithalter</div></div>","Small sandy-colored tinamou; largely yellow below with a cryptically patterned back and head with a mix of dark and pale feathers. Mostly found in natural grasslands and savannas as well as in cultivated areas and can be locally common, but difficult to spot. The song is a repetitive “Tchip, tchip, tchip, tchip” or an insect-like “triiiiiiiiiiiiiiiiiiiiiii” trill."
Rhynchotus maculicollis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255324861/640""><div class=""credit"">©&nbsp;Alejandro Sandoval</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242243331/640""><div class=""credit"">©&nbsp;Jorge Omar Torres</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242243311/640""><div class=""credit"">©&nbsp;Alejandro Sandoval</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242243301/640""><div class=""credit"">©&nbsp;Luis Fernandez</div></div>","Large, streaky tinamou of upper elevations of the east side of the Andes. The highland version of Red-winged Tinamou, similar in voice and habits. Fairly rare and local in tall grass in the high Andes from NW Argentina to the La Paz area in Bolivia. Prefers steep hillsides and slopes, largely absent from the altiplano. From other montane tinamous by characteristic plaintive, two part whistled song, for which it is named (“HUAY-co”). Shy and retiring, can be quite difficult to see, most often found by voice."
Rhynchotus rufescens,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608874074/640""><div class=""credit"">©&nbsp;Mauricio  Silvera</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608874076/640""><div class=""credit"">©&nbsp;Phillip Edwards</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608874077/640""><div class=""credit"">©&nbsp;Amed Hernández</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608874075/640""><div class=""credit"">©&nbsp;Mauricio  Silvera</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608874073/640""><div class=""credit"">©&nbsp;Pablo Ramos</div></div>","Distinctive tinamou with a densely barred body, orangish neck, and dark brown crown that can be raised. Rarely flies, but when it does, flight is short and lumbering on distinctive rusty wings. Inhabits wet grasslands, savannas, and pastures where it is heavily hunted, and thus very shy. The song is a descending repetitive “tchirip, ju ju ju,” which can be heard all day."
Nothoprocta cinerascens,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242245711/640""><div class=""credit"">©&nbsp;Ignacio Hernandez</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242245701/640""><div class=""credit"">©&nbsp;Ignacio Hernandez</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242245681/640""><div class=""credit"">©&nbsp;Guillermo Sferco</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242245691/640""><div class=""credit"">©&nbsp;Ricardo  Doumecq Milieu</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/242245731/640""><div class=""credit"">©&nbsp;Giselle Mangini</div></div>","Small, short-necked tinamou of the chaco region of the central Southern Cone. Most often detected by voice. From similar White-bellied Nothura, with which its range partly overlaps, by gray legs and brownish belly. Tends to prefer thorn forest with dense grass or scrubby understory, but can be seen along road sides. Song a 5-8 part flat whistle, given with progressively more emphasis."
Nothoprocta pentlandii,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203256181/640""><div class=""credit"">©&nbsp;Robert Lewis</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203256161/640""><div class=""credit"">©&nbsp;Jacob Drucker</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203256231/640""><div class=""credit"">©&nbsp;samuel olivieri bornand</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203256191/640""><div class=""credit"">©&nbsp;Steve Kelling</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203256171/640""><div class=""credit"">©&nbsp;Tor Egil Høgsås</div></div>","Tan, heavily patterned tinamou with a down-curved bill. Found in montane scrub and grasslands, including around forest edges. Where it overlaps with the similar Curve-billed Tinamou, note Andean’s colder brown coloration and slightly reduced patterning below. Smaller than the similar Ornate Tinamou, with a larger bill. Often undetected until it flushes explosively from underfoot. Listen for its simple call, a high, piercing, rising whistle: “tuEEE!”"
Nothoprocta curvirostris,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/159982901/640""><div class=""credit"">©&nbsp;Andrew Spencer</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/159982911/640""><div class=""credit"">©&nbsp;Mike Seager</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/159982891/640""><div class=""credit"">©&nbsp;Fernando Angulo - CORBIDI</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/159982881/640""><div class=""credit"">©&nbsp;David Weaver</div></div>","A terrestrial, chickenlike bird found only at very high elevations in the Andes. Inhabits grassy areas such as overgrown pastures and paramo;does not venture into dense forest. It has cinnamon underparts and dark brown upperparts that are heavily streaked with white; sometimes exhibits a small crest. Typical, but rarely heard call is a short, high-pitched whistle. Usually shy and hard to see, but occasionally comes out to feed in the open along quiet roads early in the morning."
Nothoprocta ornata,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873221/640""><div class=""credit"">©&nbsp;Dorian Anderson</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107158331/640""><div class=""credit"">©&nbsp;Luke Seitz</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107158341/640""><div class=""credit"">©&nbsp;VERONICA ARAYA GARCIA</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/180350681/640""><div class=""credit"">©&nbsp;Pedro Allasi Condo - COAP - COLLAGUA BIRDER</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107158311/640""><div class=""credit"">©&nbsp;Vicente Pantoja Maggi</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/107158321/640""><div class=""credit"">©&nbsp;Pio Marshall</div></div>","Gray-and-brown chicken-like bird found at high elevations in rocky Andean scrub and grasslands. Finely barred across its head, back, and wings. Note its small, slightly decurved bill, which helps distinguish it from the longer-billed Andean Tinamou. Ornate is larger than that species as well. Gives rapid high “wee!” calls when flushed."
Nothoprocta taczanowskii,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/228618211/640""><div class=""credit"">©&nbsp;Juan José Chalco Luna</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/228618231/640""><div class=""credit"">©&nbsp;Ulrich Menzel</div></div>","Rarely-seen terrestrial bird found in the high Andes of southern Peru and adjacent border regions of Bolivia. No other tinamou has such a long, curved bill; also note the stout yellow legs and profuse white markings on back and breast. Inhabits wet, grassy areas adjacent to scrub and woodland. Usually only detected by voice; song is a single piercing whistle given at well-spaced intervals."
Nothoprocta perdicaria,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873407/640""><div class=""credit"">©&nbsp;Michel Gutierrez</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873406/640""><div class=""credit"">©&nbsp;Eduardo Opazo M. - Emplumados_</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873405/640""><div class=""credit"">©&nbsp;Holger Teichmann</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873403/640""><div class=""credit"">©&nbsp;Ariel Cabrera Foix</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873404/640""><div class=""credit"">©&nbsp;Fernando Burgalin Sequeria</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/608873408/640""><div class=""credit"">©&nbsp;Francisco Castro Carmona</div></div>","Cryptically plumaged chickenlike bird of matorral shrubland, open scrub, and farmland; endemic to central Chile. Found as singles or small groups; most often seen along roadsides early and late in the day. Usually runs away, but if disturbed will flush explosively from underfoot with shrieking whistles. The only tinamou in its range, but compare with distinctively patterned California Quail, which often occurs in same areas. Song is a short, abrupt whistle; given irregularly and hard to trace."
Nothocercus julius,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/69426131/640""><div class=""credit"">©&nbsp;Anthony Collerton</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/69426081/640""><div class=""credit"">©&nbsp;Anthony Collerton</div></div>","Plump chickenlike bird found on the ground inside montane forest from extreme western Venezuela to extreme northern Peru. Dark brownish overall with a paler throat, messy vermiculation on the upperparts and flanks, and a warm tawny belly. Occurs from around 1,500m-3,200m, within forest. Very rarely seen. Listen for its song, a series of repeated querulous notes."
Nothocercus nigrocapillus,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/210540701/640""><div class=""credit"">©&nbsp;Carlos Calle Quispe</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/210540721/640""><div class=""credit"">©&nbsp;John Gorey</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/210540731/640""><div class=""credit"">©&nbsp;Jake Glassman</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/210540741/640""><div class=""credit"">©&nbsp;Euclides ""Kilo"" Campos</div></div>","Fairly large, terrestrial bird of Andean cloud forest. It has a gray head, a white throat, white speckling on the wings, and faint barring on the belly. Similar to White-throated Tinamou, but Hooded has a grayer head, a less mottled neck, and a different voice, and is found at higher elevations. Very shy and solitary, heard far more often than seen; song is a nasal “ow” repeated every few seconds."
Nothocercus bonapartei,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/47213191/640""><div class=""credit"">©&nbsp;Jonathan Feenstra</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/612383407/640""><div class=""credit"">©&nbsp;Jack Kew</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/47213201/640""><div class=""credit"">©&nbsp;Jonathan Feenstra</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/245403851/640""><div class=""credit"">©&nbsp;Jhonathan Miranda - Wandering Venezuela Birding Expeditions</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/612383419/640""><div class=""credit"">©&nbsp;Jack Kew</div></div>","Rotund chickenlike bird, far more often heard than seen. Like a dove but body is even more circular and tail shorter. Most similar to Great Tinamou but generally found at higher elevations; also warmer rufous-brown below with small buffy spots on back and grayer head. Lives on the ground in montane forests. Shy and difficult to see; most often seen running away along a trail. Listen for series of repeated nasal call notes."
