Scientific (Clements),MNEMONIC
Ducula galeata,nan
Ducula myristicivora,nan
Ducula geelvinkiana,nan
Ducula rufigaster,nan
Ducula basilica,nan
Ducula finschii,nan
Ducula chalconota,nan
Ducula pistrinaria,nan
Ducula rosacea,nan
Ducula whartoni,nan
Ducula pickeringii,nan
Ducula latrans,nan
Ducula brenchleyi,nan
Ducula bakeri,nan
Ducula goliath,nan
Ducula pinon,nan
Ducula melanochroa,nan
Ducula mullerii,nan
Ducula zoeae,nan
Ducula cuprea,nan
Ducula badia,nan
Ducula lacernulata,nan
Ducula cineracea,nan
Ducula bicolor,nan
Ducula subflavescens,nan
Ducula spilorrhoa,nan
Ducula luctuosa,nan
Lopholaimus antarcticus,nan
Hemiphaga novaeseelandiae,nan
Hemiphaga chathamensis,nan
Cryptophaps poecilorrhoa,nan
Gymnophaps albertisii,nan
Gymnophaps mada,nan
Gymnophaps stalkeri,nan
Gymnophaps solomonensis,nan
Mesitornis variegatus,nan
Mesitornis unicolor,nan
Monias benschi,nan
Syrrhaptes tibetanus,nan
Syrrhaptes paradoxus,nan
Pterocles alchata,nan
Pterocles namaqua,nan
Pterocles exustus,nan
Pterocles senegallus,nan
Pterocles orientalis,nan
Pterocles gutturalis,nan
Pterocles coronatus,nan
Pterocles decoratus,nan
Pterocles personatus,nan
Pterocles lichtensteinii,nan
Pterocles bicinctus,nan
Pterocles quadricinctus,nan
Pterocles indicus,nan
Pterocles burchelli,nan
Otis tarda,nan
Ardeotis arabs,nan
Ardeotis kori,nan
Ardeotis nigriceps,nan
Ardeotis australis,nan
Chlamydotis undulata,nan
Chlamydotis macqueenii,nan
Neotis ludwigii,nan
Neotis denhami,nan
Neotis heuglinii,nan
Neotis nuba,nan
Eupodotis senegalensis,nan
Eupodotis caerulescens,nan
Heterotetrax vigorsii,nan
Heterotetrax rueppelii,nan
Heterotetrax humilis,nan
Lophotis savilei,nan
Lophotis gindiana,nan
Lophotis ruficrista,nan
Afrotis afra,nan
Afrotis afraoides,nan
Lissotis melanogaster,nan
Lissotis hartlaubii,nan
Houbaropsis bengalensis,nan
Sypheotides indicus,nan
Tetrax tetrax,nan
Corythaeola cristata,nan
Crinifer concolor,nan
Crinifer personatus,nan
Crinifer leucogaster,nan
Crinifer piscator,nan
Crinifer zonurus,nan
Gallirex johnstoni,nan
Gallirex porphyreolophus,nan
Menelikornis leucotis,nan
Menelikornis ruspolii,nan
Tauraco violaceus,nan
Tauraco rossae,nan
Tauraco macrorhynchus,nan
Tauraco bannermani,nan
Tauraco leucolophus,nan
Tauraco schuettii,nan
Tauraco schalowi,nan
Tauraco erythrolophus,nan
Tauraco persa,nan
Tauraco hartlaubi,nan
Tauraco fischeri,nan
Tauraco livingstonii,nan
Tauraco corythaix,nan
Guira guira,nan
Crotophaga major,nan
Crotophaga ani,nan
Crotophaga sulcirostris,nan
Tapera naevia,nan
Dromococcyx phasianellus,nan
Dromococcyx pavoninus,nan
Morococcyx erythropygus,nan
Geococcyx velox,nan
Geococcyx californianus,nan
Neomorphus geoffroyi,nan
Neomorphus squamiger,nan
Neomorphus radiolosus,nan
Neomorphus rufipennis,nan
Neomorphus pucheranii,nan
Carpococcyx viridis,nan
Carpococcyx radiceus,nan
Carpococcyx renauldi,nan
Coua cristata,nan
Coua verreauxi,nan
Coua caerulea,nan
Coua ruficeps,nan
Coua olivaceiceps,nan
Coua reynaudii,nan
Coua coquereli,nan
Coua cursor,nan
Coua gigas,nan
Coua delalandei,nan
Coua serriana,nan
Centropus milo,nan
Centropus ateralbus,nan
Centropus chalybeus,nan
Centropus menbeki,nan
Centropus unirufus,nan
Centropus chlororhynchos,nan
Centropus melanops,nan
Centropus rectunguis,nan
Centropus steerii,nan
Centropus celebensis,nan
Centropus anselli,nan
Centropus leucogaster,nan
Centropus senegalensis,nan
Centropus monachus,nan
Centropus cupreicaudus,nan
Centropus superciliosus,nan
Centropus burchellii,nan
Centropus nigrorufus,nan
Centropus andamanensis,nan
Centropus sinensis,nan
Centropus goliath,nan
Centropus toulou,nan
Centropus grillii,nan
Centropus viridis,nan
Centropus bengalensis,nan
Centropus violaceus,nan
Centropus bernsteini,nan
