Scientific (Clements),MNEMONIC
Centropus phasianinus,nan
Rhinortha chlorophaea,nan
Ceuthmochares aereus,nan
Ceuthmochares australis,nan
Taccocua leschenaultii,nan
Zanclostomus javanicus,nan
Phaenicophaeus curvirostris,nan
Phaenicophaeus oeneicaudus,nan
Phaenicophaeus sumatranus,nan
Phaenicophaeus pyrrhocephalus,nan
Phaenicophaeus viridirostris,nan
Phaenicophaeus diardi,nan
Phaenicophaeus tristis,nan
Rhamphococcyx calyorhynchus,nan
Dasylophus superciliosus,nan
Dasylophus cumingi,nan
Clamator coromandus,nan
Clamator glandarius,nan
Clamator levaillantii,nan
Clamator jacobinus,nan
Coccycua minuta,nan
Coccycua pumila,nan
Coccycua cinerea,nan
Piaya mexicana,nan
Piaya cayana,nan
Piaya melanogaster,nan
Coccyzus melacoryphus,nan
Coccyzus americanus,hoo-luh; hoo-luh; hoo-luh (1/sec; broken)<br/>ka-ka-ka-  kowp-kowp-kowp
Coccyzus euleri,nan
Coccyzus minor,nan
Coccyzus ferrugineus,nan
Coccyzus erythropthalmus,ku-ku-ku
Coccyzus lansbergi,nan
Coccyzus pluvialis,nan
Coccyzus rufigularis,nan
Coccyzus vetula,nan
Coccyzus vieilloti,nan
Coccyzus merlini,nan
Coccyzus longirostris,nan
Nannococcyx psix,nan
Pachycoccyx audeberti,nan
Microdynamis parva,nan
Eudynamys scolopaceus,nan
Eudynamys melanorhynchus,nan
Eudynamys orientalis,nan
Urodynamis taitensis,nan
Scythrops novaehollandiae,nan
Chrysococcyx maculatus,nan
Chrysococcyx xanthorhynchus,nan
Chrysococcyx caprius,nan
Chrysococcyx klaas,nan
Chrysococcyx flavigularis,nan
Chrysococcyx cupreus,nan
Chalcites megarhynchus,nan
Chalcites basalis,nan
Chalcites osculans,nan
Chalcites ruficollis,nan
Chalcites lucidus,nan
Chalcites meyerii,nan
Chalcites minutillus,nan
Chalcites crassirostris,nan
Heteroscenes pallidus,nan
Caliechthrus leucolophus,nan
Cacomantis castaneiventris,nan
Cacomantis flabelliformis,nan
Cacomantis sonneratii,nan
Cacomantis merulinus,nan
Cacomantis passerinus,nan
Cacomantis sepulcralis,nan
Cacomantis virescens,nan
Cacomantis aeruginosus,nan
Cacomantis variolosus,nan
Cacomantis addendus,nan
Cacomantis blandus,nan
Cercococcyx mechowi,nan
Cercococcyx olivinus,nan
Cercococcyx montanus,nan
Surniculus dicruroides,nan
Surniculus velutinus,nan
Surniculus lugubris,nan
Surniculus musschenbroeki,nan
Hierococcyx vagans,nan
Hierococcyx sparverioides,nan
Hierococcyx bocki,nan
Hierococcyx varius,nan
Hierococcyx hyperythrus,nan
Hierococcyx pectoralis,nan
Hierococcyx nisicolor,nan
Hierococcyx fugax,nan
Cuculus clamosus,nan
Cuculus solitarius,nan
Cuculus poliocephalus,nan
Cuculus crassirostris,nan
Cuculus micropterus,nan
Cuculus gularis,nan
Cuculus rochii,nan
Cuculus saturatus,nan
Cuculus lepidus,nan
Cuculus canorus,nan
Cuculus optatus,nan
Eurostopodus argus,nan
Eurostopodus nigripennis,nan
Eurostopodus exul,nan
Eurostopodus mystacalis,nan
Eurostopodus diabolicus,nan
Eurostopodus papuensis,nan
Eurostopodus archboldi,nan
Lyncornis temminckii,nan
Lyncornis macrotis,nan
Gactornis enarratus,nan
Chordeiles nacunda,nan
Chordeiles pusillus,nan
Chordeiles rupestris,nan
Chordeiles acutipennis,nan
Chordeiles minor,beeer<br/>pee-eet (nasal)
Chordeiles gundlachii,nan
Lurocalis semitorquatus,nan
Lurocalis rufiventris,nan
Nyctiprogne leucopyga,nan
Nyctiprogne vielliardi,nan
Nyctipolus nigrescens,nan
Nyctipolus hirundinaceus,nan
Nyctidromus albicollis,nan
Nyctidromus anthonyi,nan
Tepuiornis whitelyi,nan
Uropsalis segmentata,nan
Uropsalis lyra,nan
Quechuavis decussata,nan
Setopagis heterura,nan
Setopagis parvula,nan
Setopagis maculosa,nan
Antiurus maculicaudus,nan
Systellura longirostris,nan
Eleothreptus candicans,nan
Eleothreptus anomalus,nan
Hydropsalis cayennensis,nan
Hydropsalis climacocerca,nan
Hydropsalis torquata,nan
Hydropsalis forcipata,nan
Siphonorhis americana,nan
Siphonorhis brewsteri,nan
Nyctiphrynus mcleodii,nan
Nyctiphrynus yucatanicus,nan
Nyctiphrynus ocellatus,nan
Nyctiphrynus rosenbergi,nan
Phalaenoptilus nuttallii,poor-will; poor-will; poor-will
Antrostomus carolinensis,nan
Antrostomus rufus,nan
Antrostomus cubanensis,nan
Antrostomus ekmani,nan
Antrostomus salvini,nan
Antrostomus badius,nan
Antrostomus sericocaudatus,nan
Antrostomus ridgwayi,nan
Antrostomus vociferus,nan
Antrostomus saturatus,nan
Antrostomus arizonae,nan
Antrostomus noctitherus,nan
Veles binotatus,nan
Caprimulgus vexillarius,nan
Caprimulgus longipennis,nan
Caprimulgus ruficollis,nan
Caprimulgus indicus,nan
Caprimulgus jotaka,nan
Caprimulgus phalaena,nan
Caprimulgus europaeus,nan
Caprimulgus fraenatus,nan
Caprimulgus rufigena,nan
Caprimulgus aegyptius,nan
Caprimulgus nubicus,nan
Caprimulgus mahrattensis,nan
Caprimulgus eximius,nan
Caprimulgus macrurus,nan
Caprimulgus ritae,nan
Caprimulgus andamanicus,nan
Caprimulgus meesi,nan
Caprimulgus atripennis,nan
Caprimulgus manillensis,nan
Caprimulgus celebensis,nan
Caprimulgus donaldsoni,nan
Caprimulgus pectoralis,nan
Caprimulgus poliocephalus,nan
Caprimulgus asiaticus,nan
Caprimulgus madagascariensis,nan
Caprimulgus natalensis,nan
Caprimulgus inornatus,nan
Caprimulgus stellatus,nan
Caprimulgus solala,nan
Caprimulgus affinis,nan
Caprimulgus griseatus,nan
Caprimulgus tristigma,nan
Caprimulgus concretus,nan
Caprimulgus pulchellus,nan
Caprimulgus prigoginei,nan
Caprimulgus batesi,nan
Caprimulgus climacurus,nan
Caprimulgus clarus,nan
Caprimulgus fossii,nan
Phyllaemulor bracteatus,nan
Nyctibius grandis,nan
Nyctibius aethereus,nan
Nyctibius griseus,nan
Nyctibius jamaicensis,nan
Nyctibius maculosus,nan
Nyctibius leucopterus,nan
Steatornis caripensis,nan
Podargus strigoides,nan
Podargus ocellatus,nan
Podargus papuensis,nan
Rigidipenna inexpectata,nan
Batrachostomus auritus,nan
Batrachostomus harterti,nan
Batrachostomus septimus,nan
Batrachostomus stellatus,nan
Batrachostomus moniliger,nan
Batrachostomus hodgsoni,nan
Batrachostomus poliolophus,nan
Batrachostomus mixtus,nan
Batrachostomus javensis,nan
Batrachostomus affinis,nan
Batrachostomus chaseni,nan
Batrachostomus cornutus,nan
Aegotheles savesi,nan
Aegotheles insignis,nan
Aegotheles tatei,nan
Aegotheles wallacii,nan
Aegotheles albertisi,nan
Aegotheles crinifrons,nan
Aegotheles cristatus,nan
Aegotheles affinis,nan
Aegotheles bennettii,nan
Aegotheles terborghi,nan
Cypseloides niger,nan
Cypseloides lemosi,nan
Cypseloides rothschildi,nan
Cypseloides fumigatus,nan
Cypseloides storeri,nan
Cypseloides cryptus,nan
Cypseloides cherriei,nan
Cypseloides senex,nan
Streptoprocne rutila,nan
Streptoprocne phelpsi,nan
Streptoprocne zonaris,nan
Streptoprocne semicollaris,nan
Streptoprocne biscutata,nan
Mearnsia picina,nan
Mearnsia novaeguineae,nan
Zoonavena grandidieri,nan
Zoonavena thomensis,nan
Zoonavena sylvatica,nan
Telacanthura ussheri,nan
Telacanthura melanopygia,nan
Rhaphidura leucopygialis,nan
Rhaphidura sabini,nan
Neafrapus cassini,nan
Neafrapus boehmi,nan
Chaetura cinereiventris,nan
Chaetura spinicaudus,nan
Chaetura fumosa,nan
Chaetura martinica,nan
Chaetura egregia,nan
Chaetura pelagica,chit-chit-chit-chit (rapid staccato)<br/>twittering (rapid)
Chaetura vauxi,nan
Chaetura chapmani,nan
Chaetura andrei,nan
Chaetura meridionalis,nan
Chaetura brachyura,nan
Hirundapus caudacutus,nan
Hirundapus cochinchinensis,nan
Hirundapus giganteus,nan
Hirundapus celebensis,nan
Hydrochous gigas,nan
Collocalia troglodytes,nan
Collocalia dodgei,nan
Collocalia natalis,nan
Collocalia linchi,nan
Collocalia affinis,nan
Collocalia marginata,nan
Collocalia isonota,nan
Collocalia sumbawae,nan
Collocalia neglecta,nan
Collocalia esculenta,nan
Collocalia uropygialis,nan
Aerodramus elaphrus,nan
Aerodramus francicus,nan
Aerodramus unicolor,nan
Aerodramus infuscatus,nan
Aerodramus mearnsi,nan
Aerodramus hirundinaceus,nan
Aerodramus spodiopygius,nan
Aerodramus terraereginae,nan
Aerodramus brevirostris,nan
Aerodramus vulcanorum,nan
Aerodramus whiteheadi,nan
Aerodramus nuditarsus,nan
Aerodramus orientalis,nan
Aerodramus amelis,nan
Aerodramus vanikorensis,nan
Aerodramus salangana,nan
Aerodramus pelewensis,nan
Aerodramus bartschi,nan
Aerodramus inquietus,nan
Aerodramus sawtelli,nan
Aerodramus leucophaeus,nan
Aerodramus ocistus,nan
Aerodramus maximus,nan
Aerodramus fuciphagus,nan
Aerodramus papuensis,nan
Schoutedenapus myoptilus,nan
Tachymarptis melba,nan
Tachymarptis aequatorialis,nan
Apus alexandri,nan
Apus apus,nan
Apus unicolor,nan
Apus niansae,nan
Apus pallidus,nan
Apus barbatus,nan
Apus berliozi,nan
Apus bradfieldi,nan
Apus balstoni,nan
Apus pacificus,nan
Apus salimalii,nan
Apus leuconyx,nan
Apus cooki,nan
Apus acuticauda,nan
Apus affinis,nan
Apus nipalensis,nan
Apus horus,nan
Apus caffer,nan
Apus batesi,nan
Aeronautes saxatalis,je-je-je-je-je-je-je- (shrill; excited)
Aeronautes montivagus,nan
Aeronautes andecolus,nan
Panyptila cayennensis,nan
Panyptila sanctihieronymi,nan
Cypsiurus balasiensis,nan
Cypsiurus parvus,nan
Cypsiurus gracilis,nan
Tachornis phoenicobia,nan
Tachornis furcata,nan
Tachornis squamata,nan
Hemiprocne coronata,nan
Hemiprocne longipennis,nan
Hemiprocne comata,nan
Hemiprocne mystacea,nan
Topaza pella,nan
Topaza pyra,nan
Florisuga mellivora,nan
Florisuga fusca,nan
Eutoxeres aquila,nan
Eutoxeres condamini,nan
Ramphodon naevius,nan
Glaucis dohrnii,nan
Glaucis aeneus,nan
Glaucis hirsutus,nan
Threnetes ruckeri,nan
Threnetes leucurus,nan
Threnetes niger,nan
Anopetia gounellei,nan
Phaethornis hispidus,nan
Phaethornis yaruqui,nan
Phaethornis guy,nan
Phaethornis syrmatophorus,nan
Phaethornis koepckeae,nan
Phaethornis philippii,nan
Phaethornis bourcieri,nan
Phaethornis longirostris,nan
Phaethornis mexicanus,nan
Phaethornis superciliosus,nan
Phaethornis malaris,nan
Phaethornis anthophilus,nan
Phaethornis squalidus,nan
Phaethornis rupurumii,nan
Phaethornis longuemareus,nan
Phaethornis aethopygus,nan
Phaethornis idaliae,nan
Phaethornis nattereri,nan
Phaethornis atrimentalis,nan
Phaethornis striigularis,nan
Phaethornis griseogularis,nan
Phaethornis ruber,nan
Phaethornis stuarti,nan
Phaethornis subochraceus,nan
Phaethornis augusti,nan
Phaethornis pretrei,nan
Phaethornis eurynome,nan
Doryfera ludovicae,nan
Doryfera johannae,nan
Schistes albogularis,nan
Schistes geoffroyi,nan
Augastes scutatus,nan
Augastes lumachella,nan
Colibri serrirostris,nan
Colibri coruscans,nan
Colibri delphinae,nan
Colibri thalassinus,nan
Colibri cyanotus,nan
Heliactin bilophus,nan
Androdon aequatorialis,nan
Heliothryx barroti,nan
Heliothryx auritus,nan
Polytmus guainumbi,nan
Polytmus milleri,nan
Polytmus theresiae,nan
Avocettula recurvirostris,nan
Chrysolampis mosquitus,nan
Anthracothorax mango,nan
Anthracothorax nigricollis,nan
Anthracothorax viridigula,nan
Anthracothorax prevostii,nan
Anthracothorax veraguensis,nan
Anthracothorax dominicus,nan
Anthracothorax aurulentus,nan
Anthracothorax viridis,nan
Eulampis jugularis,nan
Eulampis holosericeus,nan
Heliangelus mavors,nan
Heliangelus clarisse,nan
Heliangelus spencei,nan
Heliangelus amethysticollis,nan
Heliangelus strophianus,nan
Heliangelus exortis,nan
Heliangelus micraster,nan
Heliangelus viola,nan
Heliangelus regalis,nan
Sephanoides sephaniodes,nan
Sephanoides fernandensis,nan
Discosura popelairii,nan
Discosura langsdorffi,nan
Discosura letitiae,nan
Discosura conversii,nan
Discosura longicaudus,nan
Lophornis ornatus,nan
Lophornis gouldii,nan
Lophornis magnificus,nan
Lophornis brachylophus,nan
Lophornis delattrei,nan
Lophornis stictolophus,nan
Lophornis verreauxii,nan
Lophornis chalybeus,nan
Lophornis pavoninus,nan
Lophornis helenae,nan
Lophornis adorabilis,nan
Phlogophilus hemileucurus,nan
Phlogophilus harterti,nan
Adelomyia melanogenys,nan
Aglaiocercus kingii,nan
Aglaiocercus coelestis,nan
Aglaiocercus berlepschi,nan
Sappho sparganurus,nan
Polyonymus caroli,nan
Taphrolesbia griseiventris,nan
Oreotrochilus chimborazo,nan
Oreotrochilus cyanolaemus,nan
Oreotrochilus stolzmanni,nan
Oreotrochilus melanogaster,nan
Oreotrochilus estella,nan
Oreotrochilus leucopleurus,nan
Oreotrochilus adela,nan
Opisthoprora euryptera,nan
Lesbia victoriae,nan
Lesbia nuna,nan
Ramphomicron dorsale,nan
Ramphomicron microrhynchum,nan
Chalcostigma ruficeps,nan
Chalcostigma olivaceum,nan
Chalcostigma stanleyi,nan
Chalcostigma heteropogon,nan
Chalcostigma herrani,nan
Oxypogon stuebelii,nan
Oxypogon cyanolaemus,nan
Oxypogon lindenii,nan
Oxypogon guerinii,nan
Oreonympha nobilis,nan
Metallura iracunda,nan
Metallura tyrianthina,nan
Metallura williami,nan
Metallura baroni,nan
Metallura odomae,nan
Metallura theresiae,nan
Metallura eupogon,nan
Metallura aeneocauda,nan
Metallura phoebe,nan
Haplophaedia aureliae,nan
Haplophaedia assimilis,nan
Haplophaedia lugens,nan
Eriocnemis nigrivestis,nan
Eriocnemis isabellae,nan
Eriocnemis vestita,nan
Eriocnemis derbyi,nan
Eriocnemis godini,nan
Eriocnemis cupreoventris,nan
Eriocnemis luciani,nan
Eriocnemis mosquera,nan
Eriocnemis glaucopoides,nan
Eriocnemis mirabilis,nan
Eriocnemis aline,nan
Loddigesia mirabilis,nan
Aglaeactis cupripennis,nan
Aglaeactis castelnaudii,nan
Aglaeactis aliciae,nan
Aglaeactis pamela,nan
Coeligena coeligena,nan
Coeligena wilsoni,nan
Coeligena prunellei,nan
Coeligena torquata,nan
Coeligena conradii,nan
Coeligena inca,nan
Coeligena violifer,nan
Coeligena iris,nan
Coeligena phalerata,nan
Coeligena orina,nan
Coeligena lutetiae,nan
Coeligena consita,nan
Coeligena bonapartei,nan
Coeligena eos,nan
Coeligena helianthea,nan
Lafresnaya lafresnayi,nan
Ensifera ensifera,nan
Pterophanes cyanopterus,nan
Boissonneaua flavescens,nan
Boissonneaua matthewsii,nan
Boissonneaua jardini,nan
Ocreatus underwoodii,nan
Ocreatus peruanus,nan
Ocreatus addae,nan
Urochroa bougueri,nan
Urochroa leucura,nan
Urosticte benjamini,nan
Urosticte ruficrissa,nan
Heliodoxa xanthogonys,nan
Heliodoxa gularis,nan
Heliodoxa branickii,nan
Heliodoxa schreibersii,nan
Heliodoxa aurescens,nan
Heliodoxa rubinoides,nan
Heliodoxa jacula,nan
Heliodoxa imperatrix,nan
Heliodoxa leadbeateri,nan
Heliodoxa rubricauda,nan
Patagona gigas,nan
Sternoclyta cyanopectus,nan
Hylonympha macrocerca,nan
Eugenes fulgens,nan
Eugenes spectabilis,nan
Heliomaster longirostris,nan
Heliomaster constantii,nan
Heliomaster squamosus,nan
Heliomaster furcifer,nan
Panterpe insignis,nan
Lampornis viridipallens,nan
Lampornis sybillae,nan
Lampornis amethystinus,nan
Lampornis clemenciae,nan
Lampornis hemileucus,nan
Lampornis calolaemus,nan
Lampornis castaneoventris,nan
Lamprolaima rhami,nan
Tilmatura dupontii,nan
Calliphlox amethystina,nan
Thaumastura cora,nan
Myrmia micrura,nan
Myrtis fanny,nan
Rhodopis vesper,nan
Eulidia yarrellii,nan
Microstilbon burmeisteri,nan
Chaetocercus mulsant,nan
Chaetocercus bombus,nan
Chaetocercus heliodor,nan
Chaetocercus astreans,nan
Chaetocercus berlepschi,nan
Chaetocercus jourdanii,nan
Philodice bryantae,nan
Philodice mitchellii,nan
Doricha enicura,nan
Doricha eliza,nan
Calothorax lucifer,nan
Calothorax pulcher,nan
Archilochus colubris,t-t-t-t-t-t-t  (soft; rapid; excited)
Archilochus alexandri,tchew (soft; flat)
Nesophlox evelynae,nan
Nesophlox lyrura,nan
Mellisuga minima,nan
Mellisuga helenae,nan
Calypte anna,chee-ik-ee-ik-ee-ik (grating; squeaky)
Calypte costae,nan
Selasphorus calliope,nan
Selasphorus rufus,zee-chuppity-chuppity (buzzy)
Selasphorus sasin,nan
Selasphorus platycercus,"chittering; thin, mixed with wing-hum"
Selasphorus heloisa,nan
Selasphorus ellioti,nan
Selasphorus flammula,nan
Selasphorus scintilla,nan
Selasphorus ardens,nan
Phaeoptila sordida,nan
Riccordia ricordii,nan
Riccordia bracei,nan
Riccordia swainsonii,nan
Riccordia maugaeus,nan
Riccordia bicolor,nan
Cynanthus latirostris,nan
Cynanthus lawrencei,nan
Cynanthus doubledayi,nan
Cynanthus auriceps,nan
Cynanthus forficatus,nan
Cynanthus canivetii,nan
Chlorostilbon mellisugus,nan
Chlorostilbon olivaresi,nan
Chlorostilbon gibsoni,nan
Chlorostilbon lucidus,nan
Chlorostilbon poortmani,nan
Chlorostilbon stenurus,nan
Chlorostilbon alice,nan
Chlorostilbon russatus,nan
Chlorostilbon assimilis,nan
Chlorostilbon melanorhynchus,nan
Basilinna leucotis,nan
Basilinna xantusii,nan
Pampa curvipennis,nan
Pampa rufa,nan
Klais guimeti,nan
Abeillia abeillei,nan
Orthorhyncus cristatus,nan
Stephanoxis lalandi,nan
Stephanoxis loddigesii,nan
Anthocephala floriceps,nan
Anthocephala berlepschi,nan
Campylopterus largipennis,nan
Campylopterus calcirupicola,nan
Campylopterus diamantinensis,nan
Campylopterus hemileucurus,nan
Campylopterus hyperythrus,nan
Campylopterus duidae,nan
Campylopterus villaviscensio,nan
Campylopterus falcatus,nan
Campylopterus phainopeplus,nan
Campylopterus ensipennis,nan
Chalybura urochrysia,nan
Chalybura buffonii,nan
Thalurania glaucopis,nan
Thalurania watertonii,nan
Thalurania colombica,nan
Thalurania furcata,nan
Microchera albocoronata,nan
Microchera cupreiceps,nan
Microchera chionura,nan
Goldmania violiceps,nan
Goldmania bella,nan
Eupherusa ridgwayi,nan
Eupherusa poliocerca,nan
Eupherusa cyanophrys,nan
Eupherusa eximia,nan
Eupherusa nigriventris,nan
Phaeochroa cuvierii,nan
Leucippus fallax,nan
Thaumasius baeri,nan
Thaumasius taczanowskii,nan
Taphrospilus hypostictus,nan
Eupetomena macroura,nan
Eupetomena cirrochloris,nan
Talaphorus chlorocercus,nan
Trochilus polytmus,nan
Trochilus scitulus,nan
Ramosomyia violiceps,nan
Ramosomyia viridifrons,nan
Saucerottia cyanocephala,nan
Saucerottia hoffmanni,nan
Saucerottia beryllina,nan
Saucerottia cyanura,nan
Saucerottia edward,nan
Saucerottia saucerottei,nan
Saucerottia cyanifrons,nan
Saucerottia castaneiventris,nan
Saucerottia viridigaster,nan
Saucerottia cupreicauda,nan
Saucerottia tobaci,nan
Amazilia rutila,nan
Amazilia yucatanensis,nan
Amazilia tzacatl,nan
Amazilia luciae,nan
Amazilis amazilia,nan
Uranomitra franciae,nan
Chrysuronia versicolor,nan
Chrysuronia goudoti,nan
Chrysuronia oenone,nan
Chrysuronia boucardi,nan
Chrysuronia coeruleogularis,nan
Chrysuronia lilliae,nan
Chrysuronia humboldtii,nan
Chrysuronia grayi,nan
Chrysuronia brevirostris,nan
Chrysuronia leucogaster,nan
Leucochloris albicollis,nan
Chionomesa fimbriata,nan
Chionomesa lactea,nan
Hylocharis sapphirina,nan
Hylocharis chrysura,nan
Elliotomyia chionogaster,nan
Elliotomyia viridicauda,nan
Polyerata rosenbergi,nan
Polyerata amabilis,nan
Polyerata decora,nan
Chlorestes candida,nan
Chlorestes eliciae,nan
Chlorestes cyanus,nan
Chlorestes julie,nan
Chlorestes notata,nan
Mentocrex kioloides,nan
Mentocrex beankaensis,nan
Sarothrura pulchra,nan
Sarothrura elegans,nan
Sarothrura rufa,nan
Sarothrura lugens,nan
Sarothrura boehmi,nan
Sarothrura affinis,nan
Sarothrura insularis,nan
Sarothrura ayresi,nan
Sarothrura watersi,nan
Rallicula rubra,nan
Rallicula leucospila,nan
Rallicula forbesi,nan
Rallicula mayri,nan
Rallus obsoletus,nan
Rallus tenuirostris,nan
Rallus longirostris,nan
Rallus elegans,hip-hip-hurrah (dry; rattly)
Rallus crepitans,tic-tic-tic-tic-tic-tic-.
Rallus wetmorei,nan
Rallus limicola,ki-dik; ki-dik; ki-dik<br/>tic-tic-mcgreer
Rallus aequatorialis,nan
Rallus semiplumbeus,nan
Rallus antarcticus,nan
Rallus aquaticus,nan
Rallus indicus,nan
Rallus caerulescens,nan
Rallus madagascariensis,nan
Dryolimnas cuvieri,nan
Dryolimnas augusti,nan
Aphanapteryx bonasia,nan
Erythromachus leguati,nan
Crex crex,nan
Crecopsis egregia,nan
Rougetius rougetii,nan
Aphanocrex podarces,nan
Mundia elpenor,nan
Aramidopsis plateni,nan
Lewinia striata,nan
Lewinia mirifica,nan
Lewinia pectoralis,nan
Lewinia muelleri,nan
Gymnocrex rosenbergii,nan
Gymnocrex plumbeiventris,nan
Gymnocrex talaudensis,nan
Diaphorapteryx hawkinsi,nan
Gallirallus calayanensis,nan
Gallirallus wallacii,nan
Gallirallus castaneoventris,nan
Gallirallus australis,nan
Gallirallus lafresnayanus,nan
Gallirallus sylvestris,nan
Gallirallus okinawae,nan
Gallirallus pacificus,nan
Gallirallus philippensis,nan
Gallirallus modestus,nan
Gallirallus dieffenbachii,nan
Gallirallus insignis,nan
Gallirallus woodfordi,nan
Gallirallus poecilopterus,nan
Gallirallus owstoni,nan
Gallirallus wakensis,nan
Gallirallus torquatus,nan
Gallirallus rovianae,nan
Canirallus oculeus,nan
Pardirallus maculatus,nan
Pardirallus nigricans,nan
Pardirallus sanguinolentus,nan
Mustelirallus albicollis,nan
Mustelirallus cerverai,nan
Mustelirallus colombianus,nan
Mustelirallus erythrops,nan
Amaurolimnas concolor,nan
Aramides ypecaha,nan
Aramides wolfi,nan
Aramides mangle,nan
Aramides axillaris,nan
Aramides albiventris,nan
Aramides cajaneus,nan
Aramides calopterus,nan
Aramides saracura,nan
Tribonyx ventralis,nan
Tribonyx hodgenorum,nan
Tribonyx mortierii,nan
Porphyriops melanops,nan
Porzana carolina,ker-wee   ker-wee(descending whinny)
Porzana porzana,nan
Porzana fluminea,nan
Paragallinula angulata,nan
Gallinula silvestris,nan
Gallinula nesiotis,nan
Gallinula comeri,nan
Gallinula chloropus,nan
Gallinula galeata,nan
Gallinula tenebrosa,nan
Gallinula pacifica,nan
Fulica rufifrons,nan
Fulica cornuta,nan
Fulica gigantea,nan
Fulica armillata,nan
Fulica atra,nan
