English (Clements),Scientific (Clements),English (AviList),Scientific (AviList),TAXON_CONCEPT_ID,taxon_order,category,species_code,bio_concept_code,primary_com_name,sci_name,order1,family,species_group,sparse_report_as,report_as,four_letter_code,extinct,extinct_year,Afrikaans,Albanian,Arabic,Armenian,Assamese,Asturleonese,Azerbaijani,Bangla (Bangladesh),Bengali (India),Bengali,Bulgarian,Catalan,Chinese - Mandarin (trad),"Chinese, Hong Kong","Chinese, Simple","Creole, Haiti",Croatian,Czech,Danish,Dutch,English (AviList)_translations,English,"English, Australia","English, Bangladesh","English, HBW","English, Hawaii","English, Hong Kong","English, IOC","English, India","English, Kenya","English, Malaysia","English, New Zealand","English, Philippines","English, South Africa","English, UAE","English, United Kingdom","English, United States",Estonian,Euskera,Faroese,Finnish,French,"French, AOS","French, Canada","French, France","French, French Guiana","French, Guadeloupe","French, Haiti",Galician,Georgian,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kashmiri (India),Kazakh,Konkani,Korean,Kyrgyz,Ladakhi,Latvian,Lithuanian,Malayalam,Manipuri,Marathi,Mizo,Mongolian,Māori,Nepali (India),Nepali (Nepal),Norwegian,Odia,Persian,Polish,"Portuguese, Angola","Portuguese, Azores","Portuguese, Brazil","Portuguese, Madeira","Portuguese, Portugal","Punjabi, India",Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,"Spanish, Argentina","Spanish, Chile","Spanish, Costa Rica","Spanish, Cuba","Spanish, Dominican Republic","Spanish, Ecuador","Spanish, Honduras","Spanish, Mexico","Spanish, Panama","Spanish, Paraguay","Spanish, Peru","Spanish, Puerto Rico","Spanish, Spain","Spanish, Uruguay","Spanish, Venezuela",Swedish,"Tamil, India",Telugu,Thai,Turkish,Ukrainian,Zulu,pri_com_name_indxd,authority_code,authority_ver
Brown-fronted Woodpecker,Dendrocoptes auriceps,Brown-fronted Woodpecker,Dendrocoptes auriceps,avibase-3716A0FB,11158,species,brfwoo1,avibase-3716A0FB,Brown-fronted Woodpecker,Dendrocoptes auriceps,Piciformes,Picidae (Woodpeckers),Woodpeckers,,brfwoo1,,0,,Bruinblesspeg,,,,,,,,,,Кафявочел кълвач,picot garser frontdaurat,,,褐额啄木鸟,,zlatnoglavi djetlić,strakapoud hnědočelý,,Bruinvoorhoofdspecht,Brown-fronted Woodpecker,Brown-fronted Woodpecker,,,Brown-fronted Woodpecker,,,Brown-fronted Woodpecker,,,,,,,,,Brown-fronted Woodpecker,leekpea-kirjurähn,,,liekkiniskatikka,Pic à tête jaune,,Pic à tête jaune,,,,,,,Braunstirnspecht,,,,सोनसिर कठफोड़वा,,,,,キボウシアカゲラ,,,,,,,,,,,,,,,,,खैरोटाउके काष्ठकूट,bergspett,,,dzięcioł nepalski,,,,,,ਸੋਨ-ਮਸਤਕ ਕੱਠਫੋੜਾ,,Коронованный дятел,Smeđočeli detlić,ďateľ žltohlavý,,Pico Frentipardo,,,,,,,,,,,,,Pico frentipardo,,,brunpannad hackspett,,,,Kahverengi Alınlı Ağaçkakan,Дятел непальський,,"Woodpecker, Brown-fronted",EBIRD,2024
Arabian Woodpecker,Dendrocoptes dorae,Arabian Woodpecker,Dendrocoptes dorae,avibase-0093A624,11159,species,arawoo1,avibase-0093A624,Arabian Woodpecker,Dendrocoptes dorae,Piciformes,Picidae (Woodpeckers),Woodpeckers,,arawoo1,,0,,Arabiese Speg,,,,,,,,,,Арабски кълвач,picot garser d'Aràbia,,,,,arabijski djetlić,strakapoud arabský,,Arabische specht,Arabian Woodpecker,Arabian Woodpecker,,,Arabian Woodpecker,,,Arabian Woodpecker,,,,,,,,,Arabian Woodpecker,araabia kirjurähn,,,arabiantikka,Pic d'Arabie,,Pic d'Arabie,,,,,,,Arabienspecht,,,נקר ערבי,,,,,,アラビアアカゲラ,,,,,,,,,,,,,,,,,,araberspett,,,dzięcioł arabski,,,,,,,,Аравийский дятел,Arabijski detlić,ďateľ arabský,,Pico Árabe,,,,,,,,,,,,,Pico árabe,,,arabspett,,,,Arabistan Ağaçkakanı,Дятел аравійський,,"Woodpecker, Arabian",EBIRD,2024
Fire-bellied Woodpecker,Chloropicus pyrrhogaster,Fire-bellied Woodpecker,Chloropicus pyrrhogaster,avibase-8E989334,11160,species,fibwoo1,avibase-8E989334,Fire-bellied Woodpecker,Chloropicus pyrrhogaster,Piciformes,Picidae (Woodpeckers),Woodpeckers,,fibwoo1,,0,,Vuurpensspeg,,,,,,,,,,Гвинейски кълвач,picot ventrevermell,,,,,crvenotrbi djetlić,datel ohnivobřichý,,Vuurbuikspecht,Fire-bellied Woodpecker,Fire-bellied Woodpecker,,,Fire-bellied Woodpecker,,,Fire-bellied Woodpecker,,,,,,,,,Fire-bellied Woodpecker,ginea pruunrähn,,,tulivatsatikkanen,Pic à ventre de feu,,Pic à ventre de feu,,,,,,,Rotbauchspecht,,,,,,,,,アカハラゲラ,,,,,,,,,,,,,,,,,,ildbukspett,,,dzięcioł czerwonobrzuchy,,,,,,,,Огненобрюхий дятел,Plamenotrbi detlić,ďateľ ohnivobruchý,,Pito Ventrirrojo,,,,,,,,,,,,,Pito ventrirrojo,,,eldbuksspett,,,,Alev Karınlı Ağaçkakan,Дятел червоночеревий,,"Woodpecker, Fire-bellied",EBIRD,2024
Golden-crowned Woodpecker,Chloropicus xantholophus,Yellow-crested Woodpecker,Chloropicus xantholophus,avibase-2700C97D,11161,species,gocwoo3,avibase-2700C97D,Golden-crowned Woodpecker,Chloropicus xantholophus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,gocwoo3,,0,,Geelkuifspeg,,,,,,,,,,Конгоански кълвач,picot de corona daurada,,,,,žutokapi djetlić,datel žlutokorunkatý,,Geelkruinspecht,Golden-crowned Woodpecker,Yellow-crested Woodpecker,,,Yellow-crested Woodpecker,,,Yellow-crested Woodpecker,,Yellow-crested Woodpecker,,,,,,,Golden-crowned Woodpecker,kongo pruunrähn,,,kongontikkanen,Pic à couronne d'or,,Pic à couronne d'or,,,,,,,Scheitelfleckspecht,,,,,,,,,キガシラゲラ,,,,,,,,,,,,,,,,,,gulissespett,,,dzięcioł złotociemieniowy,Pica-pau-de-testa-dourada,,,,,,,Желтошапочный дятел,Zlatokruni detlić,ďateľ zlatohlavý,,Pito Coronado,,,,,,,,,,,,,Pito coronado,,,gulkronad hackspett,,,,Altın Taçlı Ağaçkakan,Дятел строкатогрудий,,"Woodpecker, Golden-crowned",EBIRD,2024
Bearded Woodpecker,Chloropicus namaquus,Bearded Woodpecker,Chloropicus namaquus,avibase-77D82F60,11162,species,beawoo1,avibase-77D82F60,Bearded Woodpecker,Chloropicus namaquus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,beawoo1,,0,,Baardspeg,,,,,,,,,,Брадат кълвач,picot de Namaqua,,,,,pjegavočeli djetlić,datel vousatý,,Baardspecht,Bearded Woodpecker,Bearded Woodpecker,,,Bearded Woodpecker,,,Bearded Woodpecker,,,,,,,,,Bearded Woodpecker,savanni-pruunrähn,,,täpläotsatikkanen,Pic barbu,,Pic barbu,,,,,,,Namaspecht,,,,,,,,,クロヒゲゲラ,,,,,,,,,,,,,,,,,,skjeggspett,,,dzięcioł sawannowy,Pica-pau-de-bigodes,,,,,,,Бородатый дятел,Bradati detlić,ďateľ fúzatý,,Pito Namaqua,,,,,,,,,,,,,Pito namaqua,,,namaquaspett,,,,Sakallı Ağaçkakan,Дятел бородатий,isigqobhamithintshebe,"Woodpecker, Bearded",EBIRD,2024
Abyssinian Woodpecker,Dendropicos abyssinicus,Abyssinian Woodpecker,Dendropicos abyssinicus,avibase-33F13BB1,11166,species,abywoo1,avibase-33F13BB1,Abyssinian Woodpecker,Dendropicos abyssinicus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,abywoo1,,0,,Hooglandspeg,,,,,,,,,,Абисински кълвач,picot d'Etiòpia,,,,,etiopski djetlić,datel jalovcový,,Abessijnse specht,Abyssinian Woodpecker,Abyssinian Woodpecker,,,Abyssinian Woodpecker,,,Abyssinian Woodpecker,,,,,,,,,Abyssinian Woodpecker,kadaka-väikerähn,,,etiopiantikkanen,Pic d'Abyssinie,,Pic d'Abyssinie,,,,,,,Wacholderspecht,,,,,,,,,キタアフリカコゲラ,,,,,,,,,,,,,,,,,,gullkappespett,,,dzięcioł abisyński,,,,,,,,Абиссинский дятел,Abisinski detlić,ďateľ jantárový,,Pito Abisinio,,,,,,,,,,,,,Pito abisinio,,,abessinsk hackspett,,,,Habeş Ağaçkakanı,Дятел абісинський,,"Woodpecker, Abyssinian",EBIRD,2024
Melancholy Woodpecker,Dendropicos lugubris,Melancholy Woodpecker,Dendropicos lugubris,avibase-735D837C,11167,species,melwoo1,avibase-735D837C,Melancholy Woodpecker,Dendropicos lugubris,Piciformes,Picidae (Woodpeckers),Woodpeckers,,melwoo1,,0,,Treurspeg,,,,,,,,,,Жалобен кълвач,picot lúgubre,,,,,kratkokljuni djetlić,datel západoafrický,,Melancholische specht,Melancholy Woodpecker,Melancholy Woodpecker,,,Melancholy Woodpecker,,,Melancholy Woodpecker,,,,,,,,,Melancholy Woodpecker,võra-väikerähn,,,,Pic à raies noires,,Pic à raies noires,,,,,,,Düsterspecht,,,,,,,,,ユウウツコゲラ,,,,,,,,,,,,,,,,,,sørgespett,,,dzięcioł czarnouchy,,,,,,,,Черноухий дятел,Žalobni detlić,ďateľ tmavosluchý,,Pito Lúgubre,,,,,,,,,,,,,Pito lúgubre,,,dysterspett,,,,Mahsun Ağaçkakan,Дятел плямистобокий,,"Woodpecker, Melancholy",EBIRD,2024
Gabon Woodpecker,Dendropicos gabonensis,Gabon Woodpecker,Dendropicos gabonensis,avibase-8B3DF118,11168,species,gabwoo1,avibase-8B3DF118,Gabon Woodpecker,Dendropicos gabonensis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,gabwoo1,,0,,Gaboenspeg,,,,,,,,,,Габонски кълвач,picot del Gabon,,,,,maslinasti djetlić,datel gabonský,,Gabonese specht,Gabon Woodpecker,Gabon Woodpecker,,,Gabon Woodpecker,,,Gabon Woodpecker,,,,,,,,,Gabon Woodpecker,tähnik-väikerähn,,,pisaratikkanen,Pic du Gabon,,Pic du Gabon,,,,,,,Gabunspecht,,,,,,,,,ゴマフゲラ,,,,,,,,,,,,,,,,,,flekkspett,,,dzięcioł pręgouchy,,,,,,,,Габонский дятел,Gabonski detlić,ďateľ gabonský,,Pito de Gabón,,,,,,,,,,,,,Pito de Gabón,,,gabonspett,,,,Gabon Ağaçkakanı,Дятел габонський,,"Woodpecker, Gabon",EBIRD,2024
Elliot's Woodpecker,Dendropicos elliotii,Elliot's Woodpecker,Dendropicos elliotii,avibase-81934FAF,11171,species,ellwoo1,avibase-81934FAF,Elliot's Woodpecker,Dendropicos elliotii,Piciformes,Picidae (Woodpeckers),Woodpeckers,,ellwoo1,,0,,Bleekbekspeg,,,,,,,,,,Черночел кълвач,picot d'Elliott,,,,,crnokapi djetlić,datel konžský,,Elliotspecht,Elliot's Woodpecker,Elliot's Woodpecker,,,Elliot's/Johnston's Woodpecker,,,Elliot's Woodpecker,,,,,,,,,Elliot's Woodpecker,samblarähn,,,pikiotsatikkanen,Pic d'Elliot,,Pic d'Elliot,,,,,,,Elliotspecht,,,,,,,,,ズグロゲラ,,,,,,,,,,,,,,,,,,sitronspett,,,dzięcioł zmienny,Pica-pau de Elliot,,,,,,,Эллиотов дятел,Eliotov detlić,ďateľ Elliotov,,Pito de Elliot,,,,,,,,,,,,,Pito de Elliot,,,elliotspett,,,,Elliot Ağaçkakanı,Дятел камерунський,,"Woodpecker, Elliot's",EBIRD,2024
Little Gray Woodpecker,Dendropicos elachus,Little Grey Woodpecker,Dendropicos elachus,avibase-C6F9E5EE,11174,species,ligwoo3,avibase-C6F9E5EE,Little Gray Woodpecker,Dendropicos elachus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,ligwoo3,,0,,Sahelspeg,,,,,,,,,,Сахелски кълвач,picot del Sahel,,,,,sivočeli djetlić,datel sahelský,,Kleine grijze specht,Little Gray Woodpecker,Little Grey Woodpecker,,,Sahelian Woodpecker,,,Little Grey Woodpecker,,,,,,,,,Little Gray Woodpecker,vadi-väikerähn,,,sahelintikkanen,Pic gris,,Pic gris,,,,,,,Wüstenspecht,,,,,,,,,ニシアフリカコゲラ,,,,,,,,,,,,,,,,,,sahelspett,,,dzięcioł szary,,,,,,,,Серощёкий дятел,Mali sivi detlić,ďateľ bledý,,Pito Saheliano,,,,,,,,,,,,,Pito saheliano,,,sahelspett,,,,Sahel Ağaçkakanı,Дятел сірий,,"Woodpecker, Little Gray",EBIRD,2024
Speckle-breasted Woodpecker,Dendropicos poecilolaemus,Speckle-breasted Woodpecker,Dendropicos poecilolaemus,avibase-739A97EE,11175,species,spbwoo2,avibase-739A97EE,Speckle-breasted Woodpecker,Dendropicos poecilolaemus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,spbwoo2,,0,,Vlekborsspeg,,,,,,,,,,Пъстрогръд кълвач,picot pitclapat,,,,,žutotrbi djetlić,datel krůpějový,,Vlekborstspecht,Speckle-breasted Woodpecker,Speckle-breasted Woodpecker,,,Speckle-breasted Woodpecker,,,Speckle-breasted Woodpecker,,,,,,,,,Speckle-breasted Woodpecker,koldkõht-väikerähn,,,rokkorintatikkanen,Pic à poitrine tachetée,,Pic à poitrine tachetée,,,,,,,Tropfenspecht,,,,,,,,,ウガンダアフリカコゲラ,,,,,,,,,,,,,,,,,,flekkbrystspett,,,dzięcioł równikowy,,,,,,,,Саванный дятел,Afrički žunoliki detlić,ďateľ škvrnitoprsý,,Pito Cuellipinto,,,,,,,,,,,,,Pito cuellipinto,,,beigebukig hackspett,,,,Göğsü Benekli Ağaçkakan,Дятел угандійський,,"Woodpecker, Speckle-breasted",EBIRD,2024
Cardinal Woodpecker,Dendropicos fuscescens,Cardinal Woodpecker,Dendropicos fuscescens,avibase-0A241B83,11176,species,carwoo1,avibase-0A241B83,Cardinal Woodpecker,Dendropicos fuscescens,Piciformes,Picidae (Woodpeckers),Woodpeckers,,carwoo1,,0,,Kardinaalspeg,,,,,,,,,,Кардиналов кълвач,picot cardenal,,,,,smeđočeli djetlić,datel kardinálský,,Kardinaalspecht,Cardinal Woodpecker,Cardinal Woodpecker,,,Cardinal Woodpecker,,,Cardinal Woodpecker,,,,,,,,,Cardinal Woodpecker,vöötselg-väikerähn,,,ruso-otsatikkanen,Pic cardinal,,Pic cardinal,,,,,,,Kardinalspecht,,,,,,Nálaspæta,,,アフリカコゲラ,,,,,,,,,,,,,,,,,,kardinalspett,,,dzięcioł jasnolicy,Pica-pau-cardeal,,,,Pica-pau-cardeal,,,Кардиналовый дятел,Kardinalski detlić,ďateľ kardinálsky,,Pito Cardenal,,,,,,,,,,,,,Pito cardenal,,,kardinalspett,,,,Kardinal Ağaçkakanı,Дятел сірощокий,inqondanqonda,"Woodpecker, Cardinal",EBIRD,2024
Stierling's Woodpecker,Dendropicos stierlingi,Stierling's Woodpecker,Dendropicos stierlingi,avibase-D1F738F4,11186,species,stiwoo1,avibase-D1F738F4,Stierling's Woodpecker,Dendropicos stierlingi,Piciformes,Picidae (Woodpeckers),Woodpeckers,,stiwoo1,,0,,Miombospeg,,,,,,,,,,Малавийски кълвач,picot de Stierling,,,,,maslinastoleđi djetlić,datel malawijský,,Stierlingspecht,Stierling's Woodpecker,Stierling's Woodpecker,,,Stierling's Woodpecker,,,Stierling's Woodpecker,,,,,,,,,Stierling's Woodpecker,njassa väikerähn,,,mosambikintikkanen,Pic de Stierling,,Pic de Stierling,,,,,,,Stierlingspecht,,,,,,,,,エリグロゲラ,,,,,,,,,,,,,,,,,,miombospett,,,dzięcioł tanzański,,,,,,,,Малавийский дятел,Stirlingov tanzanijski detlić,ďateľ malawijský,,Pito de Stierling,,,,,,,,,,,,,Pito de Stierling,,,malawispett,,,,Stierling Ağaçkakanı,Дятел танзанійський,,"Woodpecker, Stierling's",EBIRD,2024
Brown-backed Woodpecker,Dendropicos obsoletus,Brown-backed Woodpecker,Dendropicos obsoletus,avibase-9FF4EDB5,11187,species,brbwoo1,avibase-9FF4EDB5,Brown-backed Woodpecker,Dendropicos obsoletus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,brbwoo1,,0,,Bruinrugspeg,,,,,,,,,,Кафявогръб кълвач,picot garser dorsibrú,,,,,smeđoleđi djetlić,strakapoud hnědohřbetý,,Bruinrugspecht,Brown-backed Woodpecker,Brown-backed Woodpecker,,,Brown-backed Woodpecker,,,Brown-backed Woodpecker,,,,,,,,,Brown-backed Woodpecker,aafrika kirjurähn,,,ruskoselkätikka,Pic à dos brun,,Pic à dos brun,,,,,,,Braunrückenspecht,,,,,,,,,ハイビタイゲラ,,,,,,,,,,,,,,,,,,brunryggspett,,,dzięcioł brązowogrzbiety,,,,,Pica-pau-de-costas-pardas,,,Буроспинный дятел,Smeđoleđi detlić,ďateľ hnedochrbtý,,Pico Dorsipardo,,,,,,,,,,,,,Pico dorsipardo,,,brunryggig hackspett,,,,Boz Sırtlı Ağaçkakan,Дятел бурокрилий,,"Woodpecker, Brown-backed",EBIRD,2024
African Gray Woodpecker,Dendropicos goertae,African Grey Woodpecker,Dendropicos goertae,avibase-E5DF48FC,11192,species,grywoo1,avibase-E5DF48FC,African Gray Woodpecker,Dendropicos goertae,Piciformes,Picidae (Woodpeckers),Woodpeckers,,grywoo1,,0,,Afrikaanse Grysspeg,,,,,,,,,,Африкански сив кълвач,picot gris occidental,,,,,sivi djetlić,datel šedoprsý,Gulbuget Askespætte,Grijsgroene specht,African Gray Woodpecker,African Grey Woodpecker,,,Grey Woodpecker,,,African Grey Woodpecker,,,,,,,,,African Gray Woodpecker,palmi-osmusrähn,,,liekkitikkanen,Pic goertan,,Pic goertan,,,,,,,Graubrustspecht,,,נקר אפור אפריקני,,Afrikai szürkeharkály,,,,ハイイロゲラ,,,,,,,,,,,,,,,,,,askehodespett,,,dzięcioł popielaty,Pica-pau-cinzento,,,,Pica-pau-cinzento,,,Серый дятел,Afrički sivi detlić,ďateľ sivý,,Pito Gris Occidental,,,,,,,,,,,,,Pito gris occidental,,,gulbukig askspett,,,,Afrika Gri Ağaçkakanı,Дятел сірошиїй,,"Woodpecker, African Gray",EBIRD,2024
Mountain Gray Woodpecker,Dendropicos spodocephalus,Eastern Grey Woodpecker,Dendropicos spodocephalus,avibase-902E9F69,11198,species,gyhwoo1,avibase-902E9F69,Mountain Gray Woodpecker,Dendropicos spodocephalus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,gyhwoo1,,0,,Oostelike Grysspeg,,,,,,,,,,Планински сив кълвач,picot gris oriental,,,,,sivoglavi djetlić,datel etiopský,,Ethiopische specht,Mountain Gray Woodpecker,Eastern Grey Woodpecker,,,Grey-headed Woodpecker,,,Eastern Grey Woodpecker,,,,,,,,,Mountain Gray Woodpecker,ida-osmusrähn,,,,Pic spodocéphale,,Pic spodocéphale,,,,,,,Graukopfspecht,,,,,,,,,リキュウガシラゲラ,,,,,,,,,,,,,,,,,,gråhodespett,,,dzięcioł szarogłowy,,,,,,,,Пепельноголовый дятел,Planinski sivi detlić,ďateľ sivohlavý,,Pito Gris Oriental,,,,,,,,,,,,,Pito gris oriental,,,rödbukig askspett,,,,Doğulu Gri Ağaçkakan,Дятел ефіопський,,"Woodpecker, Mountain Gray",EBIRD,2024
Olive Woodpecker,Dendropicos griseocephalus,Olive Woodpecker,Dendropicos griseocephalus,avibase-02E004AD,11201,species,oliwoo2,avibase-02E004AD,Olive Woodpecker,Dendropicos griseocephalus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,oliwoo2,,0,,Gryskopspeg,,,,,,,,,,Маслинов кълвач,picot fosc,,,,,brončani djetlić,datel šedohlavý,,Olijfspecht,Olive Woodpecker,Olive Woodpecker,,,Olive Woodpecker,,,Olive Woodpecker,,,,,,,,,Olive Woodpecker,salu-osmusrähn,,,vihertikkanen,Pic olive,,Pic olive,,,,,,,Goldrückenspecht,,,,,,Hryggspæta,,,ハイガシラゲラ,,,,,,,,,,,,,,,,,,sothodespett,,,dzięcioł ciemnogłowy,Pica-pau-de-cabeça-cinzenta,,,,,,,Бронзовоспинный дятел,Maslinasti detlić,ďateľ olivový,,Pito Oliváceo,,,,,,,,,,,,,Pito oliváceo,,,olivspett,,,,Zeytuni Ağaçkakan,Дятел оливковий,isigqobhamithesiluhlaza,"Woodpecker, Olive",EBIRD,2024
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,Rufous-bellied Woodpecker,Dendrocopos hyperythrus,avibase-DC1B8B91,11205,species,rubwoo1,avibase-DC1B8B91,Rufous-bellied Woodpecker,Dendrocopos hyperythrus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,rubwoo1,,0,,Roespensspeg,,,,,,,,,লালপেট কাঠঠোকরা,Червеногръд кълвач,picot garser rogenc,,棕腹啄木鳥,棕腹啄木鸟,,riđotrbi djetlić,strakapoud rezavobřichý,,Bruinkeelspecht,Rufous-bellied Woodpecker,Rufous-bellied Woodpecker,,,Rufous-bellied Woodpecker,,,Rufous-bellied Woodpecker,,,,,,,,,Rufous-bellied Woodpecker,mandariinrähn,,,ruskokirjotikka,Pic à ventre fauve,,Pic à ventre fauve,,,,,,,Rostbauchspecht,,,,लालपेट कठफोड़वा,,,,,チャバラアカゲラ,,,,,붉은배오색딱다구리,,,,,,,,,Бор хэвлийт тоншуул,,कैलोछाती लाहाँचे,कैलोछाती काष्ठकूट,ferskenspett,,,dzięcioł rdzawobrzuchy,,,,,,,,Рыжебрюхий дятел,Riđotrbi detlić,ďateľ červený,,Pico Ventrirrufo,,,,,,,,,,,,,Pico ventrirrufo,,,rostbukig spett,,,นกหัวขวานด่างท้องน้ำตาลแดง,Kızıl Karınlı Ağaçkakan,Дятел рудогрудий,,"Woodpecker, Rufous-bellied",EBIRD,2024
Fulvous-breasted Woodpecker,Dendrocopos macei,Fulvous-breasted Woodpecker,Dendrocopos macei,avibase-00B39690,11210,species,fubwoo2,avibase-00B39690,Fulvous-breasted Woodpecker,Dendrocopos macei,Piciformes,Picidae (Woodpeckers),Woodpeckers,,fubwoo2,,0,,Vaalborsspeg,,,,,,,,,জরদ কাঠঠোকরা,Блед кълвач,picot garser de Macé,,,茶胸斑啄木鸟,,pjegavoboki djetlić,strakapoud pruhobřichý,,Vaalborstspecht,Fulvous-breasted Woodpecker,Fulvous-breasted Woodpecker,,,Fulvous-breasted Woodpecker,,,Fulvous-breasted Woodpecker,,,,,,,,,Fulvous-breasted Woodpecker,leekkõht-kirjurähn,,,aasiankirjotikka,Pic de Macé,,Pic de Macé,,,,,,,Isabellbrustspecht,,,,गेंहुँआ कठफोड़वा,,,,,コモンアカゲラ,,,,,,,,,,,,,,,,काष्ठकूट,काष्ठकूट,okerbrystspett,,,dzięcioł płowy,,,,,,ਡੱਬਾ ਕੱਠਫੋੜਾ,,Буланый дятел,Zapadni pirgavi detlić,ďateľ plavoprsý,,Pico Pechileonado,,,,,,,,,,,,,Pico pechileonado,,,isabellaspett,,,,Kızıl-Sarı Karınlı Ağaçkakan,Дятел жовтогрудий,,"Woodpecker, Fulvous-breasted",EBIRD,2024
Freckle-breasted Woodpecker,Dendrocopos analis,Freckle-breasted Woodpecker,Dendrocopos analis,avibase-036D7192,11213,species,frbwoo1,avibase-036D7192,Freckle-breasted Woodpecker,Dendrocopos analis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,frbwoo1,,0,,Spikkelborsspeg,,,,,,,,,,Индокитайски кълвач,picot garser de Bonaparte,,,,,prugastorepi djetlić,strakapoud pihovatý,,Spikkelborstspecht,Freckle-breasted Woodpecker,Freckle-breasted Woodpecker,,,Freckle-breasted Woodpecker,,,Freckle-breasted Woodpecker,Freckle-breasted Woodpecker (Spot-breasted Woodpecker),,,,,,,,Freckle-breasted Woodpecker,kagu-kirjurähn,,,,Pic de Bonaparte,,Pic de Bonaparte,,,,,,,Sprenkelbrustspecht,,,,,,,Caladi ulam,,ムナホシアカゲラ,,,,,,,,,,,,,,,,,,fregnespett,,,dzięcioł pręgosterny,,,,,,,,Крапчатогрудый дятел,Južni pirgavi detlić,ďateľ fŕkaný,,Pico Pechimoteado,,,,,,,,,,,,,Pico pechimoteado,,,prickbröstad hackspett,,,นกหัวขวานด่างอกลายจุด,İncir Ağaçkakanı,Дятел цятковановолий,,"Woodpecker, Freckle-breasted",EBIRD,2024
Stripe-breasted Woodpecker,Dendrocopos atratus,Stripe-breasted Woodpecker,Dendrocopos atratus,avibase-37BC809F,11217,species,stbwoo4,avibase-37BC809F,Stripe-breasted Woodpecker,Dendrocopos atratus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,stbwoo4,,0,,Streepborsspeg,,,,,,,,,,Бирмански кълвач,picot garser estriat,,,纹胸啄木鸟,,prugastoprsi djetlić,strakapoud proužkoprsý,,Streepborstspecht,Stripe-breasted Woodpecker,Stripe-breasted Woodpecker,,,Stripe-breasted Woodpecker,,,Stripe-breasted Woodpecker,,,,,,,,,Stripe-breasted Woodpecker,indohiina kirjurähn,,,indokiinantikka,Pic à poitrine rayée,,Pic à poitrine rayée,,,,,,,Streifenbrustspecht,,,,,,,,,ムナフアカゲラ,,,,,,,,,,,,,Thloh,,,,,furuspett,,,dzięcioł birmański,,,,,,,,Пестрогрудый дятел,Burmanski detlić,ďateľ čiarkový,,Pico Estriado,,,,,,,,,,,,,Pico estriado,,,streckbröstad spett,,,นกหัวขวานด่างหัวแดงอกลาย,Çam Ağaçkakanı,Дятел бірманський,,"Woodpecker, Stripe-breasted",EBIRD,2024
Okinawa Woodpecker,Dendrocopos noguchii,Okinawa Woodpecker,Dendrocopos noguchii,avibase-9BDC3DAE,11218,species,okiwoo1,avibase-9BDC3DAE,Okinawa Woodpecker,Dendrocopos noguchii,Piciformes,Picidae (Woodpeckers),Woodpeckers,,okiwoo1,,0,,Okinawaspeg,,,,,,,,,,Окинавски кълвач,picot d'Okinawa,,,,,okinavska žuna,strakapoud okinawský,,Okinawaspecht,Okinawa Woodpecker,Okinawa Woodpecker,,,Okinawa Woodpecker,,,Okinawa Woodpecker,,,,,,,,,Okinawa Woodpecker,okinawa rähn,,,okinawantikka,Pic d'Okinawa,,Pic d'Okinawa,,,,,,,Okinawaspecht,,,,,,Ormaspæta,,,ノグチゲラ,,,,,,,,,,,,,,,,,,okinawaspett,,,okinawiak,,,,,,,,Окинавский дятел,Detlić iz Okinave,ďateľ okinavský,,Pito de Okinawa,,,,,,,,,,,,,Pito de Okinawa,,,okinawaspett,,,,Okinawa Ağaçkakanı,Дзекіль окінавський,,"Woodpecker, Okinawa",EBIRD,2024
